timestamp,coliforms_GA
2012-01-02 10:44:00,770
2012-01-04 10:32:00,1400
2012-01-05 09:45:00,1500
2012-01-09 10:00:00,340
2012-01-11 14:27:00,3400
2012-01-13 11:30:00,2000
2012-01-14 12:55:00,1200
2012-01-16 14:12:00,560
2012-01-18 12:05:00,450
2012-01-20 11:10:00,1200
2012-01-23 13:25:00,590
2012-01-25 09:05:00,350
2012-01-27 09:30:00,1300
2012-01-30 12:30:00,1200
2012-02-01 13:30:00,610
2012-02-03 08:30:00,290
2012-02-06 09:53:00,170
2012-02-08 10:15:00,140
2012-02-10 11:50:00,460
2012-02-13 13:15:00,470
2012-02-14 14:50:00,320
2012-02-15 12:55:00,960
2012-02-17 11:00:00,1300
2012-02-20 13:45:00,440
2012-02-22 12:20:00,1000
2012-02-24 11:05:00,3300
2012-02-27 13:50:00,1500
2012-02-29 13:05:00,330
2012-03-02 14:45:00,200
2012-03-05 11:55:00,2400
2012-03-07 11:35:00,390
2012-03-09 13:50:00,910
2012-03-12 14:20:00,200
2012-03-14 11:00:00,220
2012-03-16 11:10:00,110
2012-03-19 13:40:00,360
2012-03-21 11:30:00,410
2012-03-23 11:00:00,1400
2012-03-26 13:20:00,4100
2012-03-28 10:40:00,880
2012-03-30 08:20:00,440
2012-04-02 12:31:00,570
2012-04-04 11:30:00,1000
2012-04-05 08:50:00,610
2012-04-09 10:55:00,1900
2012-04-11 11:45:00,1400
2012-04-13 11:00:00,1300
2012-04-16 13:20:00,910
2012-04-20 08:55:00,760
2012-04-23 13:00:00,1100
2012-04-27 10:20:00,990
2012-04-30 14:35:00,430
2012-05-02 13:35:00,570
2012-05-04 09:48:00,710
2012-05-07 13:30:00,330
2012-05-10 09:45:00,410
2012-05-14 12:30:00,610
2012-05-18 08:20:00,760
2012-05-21 13:09:00,340
2012-05-24 10:35:00,360
2012-05-28 15:28:00,380
2012-05-31 13:30:00,370
2012-06-04 14:45:00,440
2012-06-07 11:45:00,320
2012-06-11 13:07:00,2600
2012-06-14 09:30:00,790
2012-06-18 16:08:00,1000
2012-06-21 09:00:00,530
2012-06-25 15:07:00,12000
2012-06-28 11:45:00,3900
2012-07-02 13:43:00,2100
2012-07-05 09:10:00,880
2012-07-09 14:39:00,650
2012-07-12 09:00:00,2600
2012-07-16 14:30:00,370
2012-07-19 09:25:00,350
2012-07-23 14:10:00,230
2012-07-26 09:34:00,300
2012-07-30 14:14:00,2000
2012-08-01 10:55:00,650
2012-08-03 12:30:00,14000
2012-08-04 13:50:00,6700
2012-08-05 13:00:00,3700
2012-08-06 13:42:00,1900
2012-08-07 13:30:00,7700
2012-08-08 10:25:00,6100
2012-08-09 08:55:00,5800
2012-08-10 08:50:00,2000
2012-08-11 14:20:00,910
2012-08-12 13:00:00,580
2012-08-13 14:15:00,710
2012-08-14 12:05:00,650
2012-08-15 13:05:00,460
2012-08-17 13:00:00,640
2012-08-20 12:35:00,670
2012-08-22 09:05:00,600
2012-08-24 07:30:00,1000
2012-08-27 12:50:00,620
2012-08-29 11:25:00,620
