index,feature_names,feature_coef
16,ecoli_colifast_GA_lag1O,0.11998526472687283
38,precipitation_KR_lag1D,0.0956443342915987
39,precipitation_KR_lag2D,0.09003066304748626
18,ecoli_colifast_GA_lag3O,0.09001637913050972
27,precipitation_GBG_lag2D,0.0844270734322957
1,ecoli_lab_LAE_lag2O,0.08216900027004607
58,coliforms_LAE_lag1O,0.07651234882420713
6,ecoli_colifast_LAE_lag1O,0.06491877893951452
61,coliforms_GA_lag1O,0.062415128278397104
7,ecoli_colifast_LAE_lag2O,0.053578587003108094
34,precipitation_VB_lag3D,0.05002360901804864
33,precipitation_VB_lag2D,0.048219004804595234
0,ecoli_lab_LAE_lag1O,0.04304171575433082
5,ecoli_lab_GA_lag3O,0.042939266154990594
14,ecoli_colifast_LAE_lag9O,0.04234603192452394
26,precipitation_GBG_lag1D,0.04146736734568572
17,ecoli_colifast_GA_lag2O,0.038658493408749384
4,ecoli_lab_GA_lag2O,0.032987261967041874
40,precipitation_KR_lag3D,0.03119040352049172
3,ecoli_lab_GA_lag1O,0.03029087284023201
57,turb_LAE_lag3O,0.013846912066329316
41,precipitation_KR_lag4D,0.012778597650649969
9,ecoli_colifast_LAE_lag4O,0.008578977513217487
21,ecoli_colifast_GA_lag6O,0.007472519614855098
13,ecoli_colifast_LAE_lag8O,0.006402338958405062
20,ecoli_colifast_GA_lag5O,0.006329726882775838
8,ecoli_colifast_LAE_lag3O,0.0034044896293049837
19,ecoli_colifast_GA_lag4O,0.0025716687907373827
2,ecoli_lab_LAE_lag3O,0.0007865473814670036
48,flowrate_LE_lag4D,-0.0
49,flowrate_LE_lag5D,-0.0
50,flowrate_GG_lag1D,-0.0
47,flowrate_LE_lag3D,-0.0
54,flowrate_GG_lag5D,-0.0
51,flowrate_GG_lag2D,-0.0
52,flowrate_GG_lag3D,-0.0
53,flowrate_GG_lag4D,-0.0
55,turb_LAE_lag1O,0.0
56,turb_LAE_lag2O,0.0
45,flowrate_LE_lag1D,0.0
62,coliforms_GA_lag2O,0.0
60,coliforms_LAE_lag3O,0.0
59,coliforms_LAE_lag2O,0.0
46,flowrate_LE_lag2D,-0.0
32,precipitation_VB_lag1D,0.0
28,precipitation_GBG_lag3D,0.0
25,ecoli_colifast_GA_lag10O,0.0
10,ecoli_colifast_LAE_lag5O,-0.0
11,ecoli_colifast_LAE_lag6O,-0.0
12,ecoli_colifast_LAE_lag7O,-0.0
15,ecoli_colifast_LAE_lag10O,0.0
22,ecoli_colifast_GA_lag7O,0.0
23,ecoli_colifast_GA_lag8O,-0.0
24,ecoli_colifast_GA_lag9O,-0.0
63,coliforms_GA_lag3O,0.0
43,precipitation_KR_lag6D,0.0
29,precipitation_GBG_lag4D,0.0
30,precipitation_GBG_lag5D,-0.0
35,precipitation_VB_lag4D,0.0
36,precipitation_VB_lag5D,0.0
37,precipitation_VB_lag6D,-0.0
42,precipitation_KR_lag5D,-0.0
31,precipitation_GBG_lag6D,-0.00077793930213252
44,waterTemp_LAE_lag1O,-0.3317750759292127
