timestamp,coliforms_LAE
2012-01-02 09:30:00,650
2012-01-04 08:50:00,780
2012-01-05 07:00:00,1500
2012-01-09 08:10:00,230
2012-01-11 08:15:00,1800
2012-01-13 08:50:00,2200
2012-01-16 09:20:00,440
2012-01-18 08:55:00,440
2012-01-20 09:10:00,680
2012-01-23 10:00:00,390
2012-01-25 08:35:00,630
2012-01-27 08:00:00,650
2012-01-30 09:20:00,1400
2012-02-01 09:45:00,550
2012-02-03 09:05:00,280
2012-02-06 10:45:00,130
2012-02-08 08:55:00,480
2012-02-10 09:05:00,420
2012-02-13 09:25:00,390
2012-02-15 09:20:00,250
2012-02-17 08:00:00,3900
2012-02-20 10:10:00,750
2012-02-22 09:00:00,600
2012-02-24 08:45:00,1600
2012-02-27 09:45:00,1100
2012-02-29 09:00:00,380
2012-03-02 09:10:00,310
2012-03-05 09:05:00,460
2012-03-07 08:45:00,310
2012-03-09 09:00:00,510
2012-03-12 10:55:00,620
2012-03-14 09:00:00,110
2012-03-16 09:00:00,160
2012-03-19 10:00:00,120
2012-03-21 07:45:00,410
2012-03-23 07:45:00,1100
2012-03-26 10:10:00,3100
2012-03-28 09:00:00,960
2012-03-30 09:15:00,270
2012-04-02 10:00:00,400
2012-04-04 09:05:00,580
2012-04-05 08:50:00,760
2012-04-09 08:10:00,1600
2012-04-11 08:00:00,2200
2012-04-13 08:15:00,1700
2012-04-16 09:45:00,410
2012-04-18 08:00:00,480
2012-04-20 09:40:00,700
2012-04-23 11:15:00,720
2012-04-26 09:30:00,330
2012-04-27 08:00:00,420
2012-04-30 10:05:00,390
2012-05-02 09:10:00,250
2012-05-04 09:10:00,450
2012-05-07 09:45:00,150
2012-05-09 07:50:00,85
2012-05-11 09:35:00,510
2012-05-14 09:15:00,2600
2012-05-16 09:00:00,960
2012-05-18 09:12:00,1100
2012-05-21 11:17:00,190
2012-05-23 09:16:00,120
2012-05-25 09:03:00,190
2012-05-28 10:04:00,130
2012-05-30 09:18:00,500
2012-06-01 08:54:00,310
2012-06-04 09:50:00,240
2012-06-05 09:39:00,350
2012-06-08 09:31:00,200
2012-06-11 10:00:00,580
2012-06-13 09:10:00,2300
2012-06-15 09:05:00,370
2012-06-18 08:20:00,350
2012-06-20 08:00:00,260
2012-06-21 09:30:00,200
2012-06-25 09:53:00,420
2012-06-27 08:21:00,5200
2012-06-28 14:45:00,2800
2012-06-29 09:00:00,3100
2012-07-02 08:39:00,1800
2012-07-04 09:10:00,770
2012-07-06 09:15:00,420
2012-07-09 10:23:00,2100
2012-07-11 09:03:00,800
2012-07-13 09:10:00,1300
2012-07-16 09:15:00,270
2012-07-18 08:30:00,260
2012-07-19 00:00:00,410
2012-07-20 08:50:00,320
2012-07-21 00:00:00,260
2012-07-22 00:00:00,200
2012-07-23 09:25:00,320
2012-07-24 14:12:00,370
2012-07-25 08:40:00,440
2012-07-26 13:40:00,430
2012-07-27 08:35:00,220
2012-07-30 10:06:00,3300
2012-08-01 09:40:00,800
2012-08-03 07:50:00,1900
2012-08-06 10:18:00,2600
2012-08-08 09:40:00,6500
2012-08-10 10:10:00,3400
2012-08-13 10:09:00,430
2012-08-15 09:32:00,380
2012-08-17 09:43:00,450
2012-08-20 08:40:00,580
2012-08-22 08:55:00,450
2012-08-24 08:15:00,1900
2012-08-27 09:40:00,300
2012-08-29 08:10:00,620
2012-08-31 08:35:00,340
2012-09-03 09:15:00,520
2012-09-05 09:20:00,510
2012-09-07 09:10:00,910
2012-09-10 09:20:00,650
2012-09-12 08:45:00,470
2012-09-14 07:50:00,540
2012-09-17 08:50:00,2800
2012-09-19 08:50:00,4900
2012-09-21 08:35:00,3400
2012-09-24 08:45:00,1700
2012-09-25 08:30:00,1500
2012-09-28 08:15:00,8700
2012-10-01 09:45:00,2200
2012-10-03 09:25:00,3300
2012-10-05 08:55:00,3100
2012-10-06 15:30:00,1400
2012-10-08 08:45:00,730
2012-10-10 09:00:00,750
2012-10-12 08:15:00,820
2012-10-15 09:15:00,1900
2012-10-17 09:10:00,910
2012-10-19 08:30:00,3700
2012-10-22 10:30:00,2100
2012-10-24 08:45:00,400
2012-10-26 09:30:00,590
2012-10-29 09:25:00,290
2012-10-31 08:50:00,6100
2012-11-02 09:16:00,4100
2012-11-05 08:50:00,1000
2012-11-07 10:03:00,500
2012-11-09 09:34:00,550
2012-11-12 09:48:00,720
2012-11-14 09:30:00,280
2012-11-16 09:14:00,540
2012-11-19 09:50:00,120
2012-11-21 09:35:00,260
2012-11-23 09:28:00,730
2012-11-26 10:10:00,720
2012-11-28 08:55:00,2900
2012-11-30 09:20:00,1100
2012-12-03 09:30:00,390
2012-12-05 00:00:00,230
2012-12-07 09:07:00,350
2012-12-10 10:26:00,860
2012-12-12 11:40:00,390
2012-12-14 07:14:00,280
2012-12-17 12:12:00,820
2012-12-19 09:05:00,720
2012-12-21 08:30:00,280
2012-12-25 08:05:00,610
2012-12-27 08:43:00,930
2012-12-28 08:27:00,400
2013-01-01 08:20:00,2800
2013-01-02 09:00:00,3700
2013-01-04 07:45:00,2200
2013-01-07 09:20:00,380
2013-01-09 09:13:00,590
2013-01-11 08:15:00,470
2013-01-14 10:10:00,490
2013-01-16 09:30:00,330
2013-01-18 08:40:00,320
2013-01-21 10:05:00,320
2013-01-23 09:15:00,630
2013-01-25 09:05:00,300
2013-01-28 10:15:00,290
2013-01-30 07:45:00,990
2013-02-01 07:40:00,1100
2013-02-04 10:20:00,280
2013-02-06 08:57:00,1000
2013-02-08 09:35:00,410
2013-02-11 09:55:00,400
2013-02-13 09:25:00,500
2013-02-15 09:40:00,260
2013-02-18 09:35:00,500
2013-02-20 09:35:00,560
2013-02-22 09:30:00,860
2013-02-25 10:45:00,500
2013-02-27 09:00:00,390
2013-03-01 08:50:00,330
2013-03-04 08:55:00,780
2013-03-06 08:50:00,190
2013-03-08 09:25:00,350
2013-03-11 09:05:00,85
2013-03-13 10:05:00,170
2013-03-15 07:45:00,52
2013-03-18 09:20:00,110
2013-03-20 09:15:00,250
2013-03-22 08:45:00,210
2013-03-25 10:45:00,150
2013-03-27 07:35:00,63
2013-03-29 07:51:00,140
2013-04-02 14:50:00,160
2013-04-03 00:00:00,86
2013-04-05 09:50:00,330
2013-04-09 06:50:00,74
2013-04-10 10:30:00,200
2013-04-12 10:30:00,51
2013-04-15 10:15:00,240
2013-04-17 09:10:00,460
2013-04-19 08:45:00,820
2013-04-22 00:00:00,180
2013-04-24 11:05:00,570
2013-04-26 00:00:00,240
2013-04-29 00:00:00,310
2013-04-30 00:00:00,350
2013-05-03 08:00:00,230
2013-05-06 10:30:00,170
2013-05-08 10:15:00,150
2013-05-10 10:10:00,760
2013-05-13 11:05:00,120
2013-05-15 09:30:00,150
2013-05-17 07:42:00,240
2013-05-20 10:40:00,270
2013-05-22 09:40:00,510
2013-05-24 10:42:00,280
2013-05-27 10:50:00,160
2013-05-29 09:27:00,140
2013-05-31 09:21:00,110
2013-06-03 09:18:00,280
2013-06-05 09:48:00,100
2013-06-07 09:40:00,86
2013-06-10 11:19:00,330
2013-06-12 11:00:00,280
2013-06-14 10:49:00,490
2013-06-17 11:05:00,280
2013-06-20 10:26:00,380
2013-06-24 11:03:00,2200
2013-06-26 08:37:00,430
2013-06-28 10:58:00,570
2013-07-01 11:17:00,580
2013-07-03 10:49:00,250
2013-07-05 10:12:00,500
2013-07-08 11:05:00,110
2013-07-10 10:50:00,12
2013-07-12 11:26:00,280
2013-07-15 11:04:00,240
