timestamp,colifast_LAE
2012-01-01 09:43:00,50
2012-01-01 18:43:00,<50
2012-01-01 19:43:00,100
2012-01-02 09:43:00,50
2012-01-02 19:43:00,100
2012-01-03 09:43:00,100
2012-01-03 19:43:00,100
2012-01-04 09:43:00,200
2012-01-04 19:43:00,<50
2012-01-05 09:43:00,400
2012-01-05 19:43:00,>400
2012-01-06 09:43:00,400
2012-01-06 19:43:00,400
2012-01-07 09:43:00,50
2012-01-07 19:43:00,50
2012-01-08 09:43:00,50
2012-01-09 08:50:00,50
2012-01-09 18:44:00,<50
2012-01-10 08:44:00,100
2012-01-10 18:44:00,<50
2012-01-11 08:44:00,400
2012-01-11 18:44:00,200
2012-01-12 08:44:00,>400
2012-01-12 18:44:00,100
2012-01-13 08:44:00,200
2012-01-13 18:44:00,200
2012-01-14 08:44:00,400
2012-01-14 18:44:00,50
2012-01-15 08:44:00,400
2012-01-15 18:44:00,<50
2012-01-16 08:44:00,<50
2012-01-16 18:44:00,100
2012-01-17 08:44:00,<50
2012-01-17 18:44:00,50
2012-01-18 08:44:00,200
2012-01-18 18:44:00,100
2012-01-19 08:44:00,<50
2012-01-19 18:44:00,<50
2012-01-20 08:44:00,50
2012-01-20 18:44:00,50
2012-01-21 08:44:00,50
2012-01-21 18:44:00,<50
2012-01-22 08:44:00,50
2012-01-22 18:44:00,<50
2012-01-23 08:44:00,100
2012-01-23 18:44:00,100
2012-01-24 08:44:00,100
2012-01-24 18:44:00,50
2012-01-25 08:44:00,50
2012-01-25 18:44:00,50
2012-01-26 08:44:00,<50
2012-01-26 18:44:00,<50
2012-01-27 08:44:00,50
2012-01-27 18:44:00,100
2012-01-28 08:44:00,400
2012-01-28 18:44:00,100
2012-01-29 08:44:00,50
2012-01-29 18:44:00,<50
2012-01-30 08:44:00,50
2012-01-30 18:44:00,50
2012-01-31 08:44:00,200
2012-01-31 18:44:00,<50
2012-02-01 08:44:00,<50
2012-02-01 18:44:00,<50
2012-02-02 08:44:00,100
2012-02-02 18:44:00,50
2012-02-03 08:44:00,50
2012-02-03 18:44:00,50
2012-02-04 08:44:00,50
2012-02-04 18:44:00,<50
2012-02-05 08:44:00,<50
2012-02-05 17:44:00,100
2012-02-06 11:16:00,50
2012-02-06 21:10:00,100
2012-02-07 11:10:00,50
2012-02-07 21:10:00,50
2012-02-08 11:10:00,<50
2012-02-08 21:10:00,<50
2012-02-09 11:10:00,200
2012-02-09 21:10:00,50
2012-02-10 11:10:00,50
2012-02-10 21:10:00,100
2012-02-11 11:10:00,<50
2012-02-11 21:10:00,100
2012-02-12 11:10:00,50
2012-02-12 21:10:00,50
2012-02-13 11:10:00,<50
2012-02-13 21:10:00,50
2012-02-14 11:10:00,50
2012-02-14 21:10:00,50
2012-02-15 11:10:00,50
2012-02-15 21:10:00,100
2012-02-16 11:10:00,200
2012-02-16 21:10:00,50
2012-02-17 11:10:00,100
2012-02-17 21:10:00,<50
2012-02-18 11:10:00,<50
2012-02-18 21:10:00,100
2012-02-19 11:10:00,400
2012-02-19 21:10:00,<50
2012-02-20 11:10:00,100
2012-02-20 21:10:00,<50
2012-02-21 11:10:00,50
2012-02-21 21:10:00,50
2012-02-22 11:10:00,100
2012-02-22 21:10:00,50
2012-02-23 11:10:00,>400
2012-02-23 21:10:00,<50
2012-02-24 11:10:00,100
2012-02-24 21:10:00,50
2012-02-25 11:10:00,100
2012-02-25 21:10:00,50
2012-02-26 11:10:00,50
2012-02-26 21:10:00,<50
2012-02-27 11:10:00,<50
2012-02-27 21:10:00,<50
2012-02-28 11:10:00,<50
2012-02-28 21:10:00,<50
2012-02-29 11:10:00,<50
2012-02-29 21:10:00,100
2012-03-01 11:10:00,<50
2012-03-01 21:10:00,<50
2012-03-02 11:10:00,50
2012-03-02 21:10:00,<50
2012-03-03 11:10:00,<50
2012-03-03 21:10:00,<50
2012-03-04 11:10:00,<50
2012-03-04 21:10:00,100
2012-03-12 11:01:00,<50
2012-03-12 20:55:00,<50
2012-03-13 10:55:00,<50
2012-03-13 20:55:00,<50
2012-03-14 10:55:00,<50
2012-03-14 20:55:00,<50
2012-03-15 10:55:00,50
2012-03-15 20:55:00,<50
2012-03-16 10:55:00,<50
2012-03-16 20:55:00,<50
2012-03-17 10:55:00,50
2012-03-17 20:55:00,<50
2012-03-18 10:55:00,<50
2012-03-18 20:55:00,<50
2012-03-19 10:55:00,50
2012-03-19 20:55:00,50
2012-03-20 10:55:00,100
2012-03-20 20:55:00,50
2012-03-21 10:55:00,50
2012-03-21 20:55:00,<50
2012-03-22 10:55:00,<50
2012-03-22 20:55:00,50
2012-03-23 10:55:00,100
2012-03-23 20:55:00,<50
2012-03-24 10:55:00,<50
2012-03-24 20:55:00,<50
2012-03-25 10:55:00,<50
2012-03-25 20:55:00,<50
2012-03-26 10:55:00,50
2012-03-26 20:55:00,50
2012-03-27 10:55:00,<50
2012-03-27 20:55:00,<50
2012-03-28 10:55:00,<50
2012-03-28 20:55:00,<50
2012-03-29 10:55:00,<50
2012-03-29 20:55:00,<50
2012-03-30 10:55:00,<50
2012-03-30 20:55:00,<50
2012-03-31 10:55:00,<50
2012-03-31 20:55:00,<50
2012-04-01 10:55:00,<50
2012-04-01 20:55:00,<50
2012-04-02 10:55:00,<50
2012-04-02 20:55:00,<50
2012-04-03 10:55:00,50
2012-04-03 20:55:00,50
2012-04-04 10:55:00,50
2012-04-05 09:27:00,<50
2012-04-05 19:20:00,50
2012-04-06 09:20:00,<50
2012-04-06 19:20:00,50
2012-04-07 09:20:00,<50
2012-04-07 19:20:00,100
2012-04-08 09:20:00,<50
2012-04-08 19:20:00,<50
2012-04-09 09:20:00,<50
2012-04-09 19:20:00,50
2012-04-10 09:20:00,<50
2012-04-10 19:20:00,<50
2012-04-11 09:20:00,50
2012-04-11 19:20:00,>400
2012-04-12 09:20:00,200
2012-04-12 19:20:00,<50
2012-04-13 09:20:00,50
2012-04-13 19:20:00,<50
2012-04-14 09:20:00,<50
2012-04-14 19:20:00,<50
2012-04-15 09:20:00,<50
2012-04-15 19:20:00,<50
2012-04-16 09:20:00,<50
2012-04-16 19:20:00,50
2012-04-17 09:20:00,<50
2012-04-17 19:20:00,50
2012-04-18 09:20:00,<50
2012-04-18 19:20:00,<50
2012-04-19 09:20:00,<50
2012-04-19 19:20:00,<50
2012-04-20 09:20:00,50
2012-04-20 19:20:00,<50
2012-04-21 09:20:00,<50
2012-04-21 19:20:00,100
2012-04-22 09:20:00,200
2012-04-22 19:20:00,<50
2012-04-23 09:20:00,200
2012-04-23 19:20:00,100
2012-04-24 09:20:00,<50
2012-04-24 19:20:00,50
2012-04-25 09:20:00,<50
2012-04-25 19:20:00,<50
2012-04-26 09:20:00,<50
2012-04-26 19:20:00,<50
2012-04-27 09:20:00,<50
2012-04-27 19:20:00,<50
2012-04-28 09:20:00,<50
2012-04-28 19:20:00,<50
2012-04-29 09:20:00,50
2012-04-29 19:20:00,<50
2012-04-30 09:20:00,50
2012-04-30 19:20:00,<50
2012-05-01 09:20:00,<50
2012-05-01 19:20:00,<50
2012-05-02 09:20:00,<50
2012-05-03 10:56:00,<50
2012-05-03 20:49:00,<50
2012-05-04 10:49:00,<50
2012-05-04 20:49:00,<50
2012-05-05 10:49:00,<50
2012-05-05 20:49:00,50
2012-05-06 10:49:00,50
2012-05-06 20:49:00,<50
2012-05-07 10:49:00,<50
2012-05-07 20:49:00,<50
2012-05-08 10:49:00,<50
2012-05-08 20:49:00,<50
2012-05-09 10:49:00,50
2012-05-09 20:49:00,50
2012-05-10 10:49:00,<50
2012-05-10 20:49:00,50
2012-05-11 10:49:00,100
2012-05-11 20:49:00,200
2012-05-12 10:49:00,100
2012-05-12 20:49:00,<50
2012-05-13 10:49:00,50
2012-05-13 20:49:00,<50
