SampleID,Location,Date,Escherichia_coli_per100ml
R1200391-00,GÄVGAXXS,2012-02-16 16:09,<50
R1200391-01,GÄVGAXXS,2012-02-17 02:03,<50
R1200391-02,GÄVGAXXS,2012-02-17 16:03,200
R1200391-03,GÄVGAXXS,2012-02-18 02:03,50
R1200391-04,GÄVGAXXS,2012-02-18 16:03,200
R1200391-05,GÄVGAXXS,2012-02-19 02:03,400
R1200391-06,GÄVGAXXS,2012-02-19 16:03,50
R1200391-07,GÄVGAXXS,2012-02-20 02:03,100
R1200429-00,GÄVGAXXS,2012-02-22 12:31,100
R1200429-01,GÄVGAXXS,2012-02-22 22:25,200
R1200429-02,GÄVGAXXS,2012-02-23 12:25,>400
R1200429-03,GÄVGAXXS,2012-02-23 22:25,200
R1200429-04,GÄVGAXXS,2012-02-24 12:25,200
R1200429-05,GÄVGAXXS,2012-02-24 22:25,200
R1200429-06,GÄVGAXXS,2012-02-25 12:25,50
R1200429-07,GÄVGAXXS,2012-02-25 22:25,50
R1200429-08,GÄVGAXXS,2012-02-26 12:25,100
R1200429-09,GÄVGAXXS,2012-02-26 22:25,100
R1200429-10,GÄVGAXXS,2012-02-27 12:25,100
R1200429-11,GÄVGAXXS,2012-02-27 22:25,50
R1200429-12,GÄVGAXXS,2012-02-28 12:25,50
R1200429-13,GÄVGAXXS,2012-02-28 22:25,<50
R1200429-14,GÄVGAXXS,2012-02-29 12:25,50
R1200429-15,GÄVGAXXS,2012-02-29 22:25,<50
R1200429-16,GÄVGAXXS,2012-03-01 12:25,50
R1200429-17,GÄVGAXXS,2012-03-01 22:25,100
R1200429-18,GÄVGAXXS,2012-03-02 12:25,50
R1200429-19,GÄVGAXXS,2012-03-02 22:25,100
R1200429-20,GÄVGAXXS,2012-03-03 12:25,50
R1200429-21,GÄVGAXXS,2012-03-03 22:25,<50
R1200429-22,GÄVGAXXS,2012-03-04 12:25,<50
R1200429-23,GÄVGAXXS,2012-03-04 22:25,50
R1200429-24,GÄVGAXXS,2012-03-05 12:25,200
R1200429-25,GÄVGAXXS,2012-03-05 22:25,100
R1200429-26,GÄVGAXXS,2012-03-06 12:25,50
R1200429-27,GÄVGAXXS,2012-03-06 22:25,100
R1200429-28,GÄVGAXXS,2012-03-07 12:25,100
R1200429-29,GÄVGAXXS,2012-03-07 22:25,<50
R1200429-30,GÄVGAXXS,2012-03-08 12:25,50
R1200429-31,GÄVGAXXS,2012-03-08 22:25,50
R1200429-32,GÄVGAXXS,2012-03-09 12:25,200
R1200429-33,GÄVGAXXS,2012-03-09 22:25,100
R1200429-34,GÄVGAXXS,2012-03-10 12:25,<50
R1200429-35,GÄVGAXXS,2012-03-10 22:25,50
R1200429-36,GÄVGAXXS,2012-03-11 12:25,50
R1200429-37,GÄVGAXXS,2012-03-11 22:25,50
R1200429-38,GÄVGAXXS,2012-03-12 12:25,50
R1200429-39,GÄVGAXXS,2012-03-12 22:25,<50
R1200429-40,GÄVGAXXS,2012-03-13 12:25,<50
