Location,Date,Coliforms_/100ml,E. coli_/100ml,Clostridia_/100ml,EnterococciMF_/100ml,EnterococciMPN_/100ml,Coliphages_/100ml,Turbidity_FNU,Conductivity_mS/m,Temperature_C,Colour_mg/lPt,Colour410nm_mg/lPt
GÄVGAXXS,2012-01-02 10:44,770,190,16,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-01-04 10:32,1400,520,20,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-01-05 09:45,1500,530,50,NA,NA,NA,NA,NA,4.5,NA,NA
GÄVGAXXS,2012-01-09 10:00,340,63,5,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-11 14:27,3400,210,28,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-12 09:00,NA,NA,NA,NA,NA,NA,18,8.7,NA,NA,NA
GÄVGAXXS,2012-01-13 11:30,2000,680,63,NA,NA,NA,NA,NA,3.5,NA,NA
GÄVGAXXS,2012-01-14 12:55,1200,440,NA,NA,NA,NA,NA,NA,2.9,NA,NA
GÄVGAXXS,2012-01-16 14:12,560,250,16,NA,NA,NA,NA,NA,2.7,NA,NA
GÄVGAXXS,2012-01-17 13:10,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA
GÄVGAXXS,2012-01-18 12:05,450,140,7,NA,NA,NA,NA,NA,2.5,NA,NA
GÄVGAXXS,2012-01-20 11:10,1200,150,19,NA,NA,NA,NA,NA,2.3,NA,NA
GÄVGAXXS,2012-01-23 13:25,590,240,15,NA,NA,NA,NA,NA,2.1,NA,NA
GÄVGAXXS,2012-01-25 09:05,350,98,7,NA,NA,NA,NA,NA,1.8,NA,NA
GÄVGAXXS,2012-01-27 09:30,1300,440,33,NA,NA,NA,NA,NA,1.4,NA,NA
GÄVGAXXS,2012-01-30 12:30,1200,160,14,NA,NA,NA,NA,NA,1.6,NA,NA
GÄVGAXXS,2012-02-01 13:30,610,150,12,NA,NA,NA,NA,NA,1.1,NA,NA
GÄVGAXXS,2012-02-03 08:30,290,74,16,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-06 09:53,170,63,12,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-02-08 10:15,140,63,13,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-09 08:45,NA,NA,NA,NA,NA,NA,6.7,8.7,NA,NA,NA
GÄVGAXXS,2012-02-10 11:50,460,160,9,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2012-02-13 13:15,470,110,14,NA,NA,NA,NA,NA,0.6,NA,NA
GÄVGAXXS,2012-02-14 14:50,320,150,NA,NA,NA,NA,7.2,NA,0.7,NA,NA
GÄVGAXXS,2012-02-15 12:55,960,200,15,NA,NA,NA,NA,NA,0.5,NA,NA
GÄVGAXXS,2012-02-17 11:00,1300,85,17,NA,NA,NA,NA,NA,0.4,NA,NA
GÄVGAXXS,2012-02-20 13:45,440,250,17,NA,NA,NA,NA,NA,0.7,NA,NA
GÄVGAXXS,2012-02-22 12:20,1000,230,13,NA,NA,NA,NA,NA,1.1,NA,NA
GÄVGAXXS,2012-02-24 11:05,3300,330,22,NA,NA,NA,NA,NA,1.7,NA,NA
GÄVGAXXS,2012-02-27 13:50,1500,74,11,NA,NA,NA,NA,NA,1.5,NA,NA
GÄVGAXXS,2012-02-29 13:05,330,85,6,NA,NA,NA,NA,NA,2.2,NA,NA
GÄVGAXXS,2012-03-02 14:45,200,74,5,NA,NA,NA,NA,NA,2.6,NA,NA
GÄVGAXXS,2012-03-05 11:55,2400,41,8,NA,NA,NA,NA,NA,2.2,NA,NA
GÄVGAXXS,2012-03-07 11:35,390,52,16,NA,NA,8,NA,NA,2.3,NA,NA
GÄVGAXXS,2012-03-08 13:40,NA,NA,NA,NA,NA,NA,3.4,8.5,NA,NA,NA
GÄVGAXXS,2012-03-09 13:50,910,170,17,NA,NA,NA,NA,NA,2.1,NA,NA
GÄVGAXXS,2012-03-12 14:20,200,41,13,NA,NA,NA,NA,NA,3.4,NA,NA
GÄVGAXXS,2012-03-13 12:05,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA
GÄVGAXXS,2012-03-14 11:00,220,86,14,NA,NA,13,NA,NA,3.3,NA,NA
GÄVGAXXS,2012-03-16 11:10,110,52,5,NA,NA,NA,NA,NA,2.8,NA,NA
GÄVGAXXS,2012-03-19 13:40,360,110,11,NA,NA,NA,NA,NA,4.2,NA,NA
GÄVGAXXS,2012-03-21 11:30,410,31,5,NA,NA,1,NA,NA,4.4,NA,NA
GÄVGAXXS,2012-03-23 11:00,1400,63,10,NA,NA,NA,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-03-26 13:20,4100,52,10,NA,NA,NA,NA,NA,5.2,NA,NA
GÄVGAXXS,2012-03-28 10:40,880,52,7,NA,NA,16,NA,NA,5.3,NA,NA
GÄVGAXXS,2012-03-30 08:20,440,86,8,NA,NA,NA,NA,NA,5.7,NA,NA
GÄVGAXXS,2012-04-02 12:31,570,150,26,NA,NA,NA,NA,NA,5.1,NA,NA
GÄVGAXXS,2012-04-04 11:30,1000,52,9,NA,NA,5,NA,NA,4.7,NA,NA
GÄVGAXXS,2012-04-05 08:50,610,98,10,NA,NA,NA,3.5,8.5,4.8,NA,NA
GÄVGAXXS,2012-04-09 10:55,1900,110,19,NA,NA,NA,NA,NA,5,NA,NA
GÄVGAXXS,2012-04-11 11:45,1400,250,26,NA,NA,21,NA,NA,5,NA,NA
GÄVGAXXS,2012-04-13 11:00,1300,86,20,NA,NA,NA,NA,NA,5.2,NA,NA
GÄVGAXXS,2012-04-16 13:20,910,84,12,NA,NA,NA,NA,NA,5.9,NA,NA
GÄVGAXXS,2012-04-20 08:55,760,74,18,NA,NA,3,NA,NA,5.5,NA,NA
GÄVGAXXS,2012-04-23 13:00,1100,420,32,NA,NA,21,NA,NA,6.2,NA,NA
GÄVGAXXS,2012-04-24 13:30,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA
GÄVGAXXS,2012-04-27 10:20,990,120,23,NA,NA,NA,NA,NA,6.9,NA,NA
GÄVGAXXS,2012-04-30 14:35,430,31,20,NA,NA,11,NA,NA,8.8,NA,NA
GÄVGAXXS,2012-05-02 13:35,570,75,13,NA,NA,NA,NA,NA,9.5,NA,NA
GÄVGAXXS,2012-05-04 09:48,710,110,23,NA,NA,NA,2.3,8.6,10.1,NA,NA
GÄVGAXXS,2012-05-07 13:30,330,110,6,NA,NA,2,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-10 09:45,410,220,18,NA,NA,NA,NA,NA,9.8,NA,NA
GÄVGAXXS,2012-05-14 12:30,610,140,21,NA,NA,7,NA,NA,9.6,NA,NA
GÄVGAXXS,2012-05-15 11:50,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-18 08:20,760,200,18,NA,NA,NA,NA,NA,9.3,NA,NA
GÄVGAXXS,2012-05-21 13:09,340,150,30,NA,NA,18,NA,NA,11.2,NA,NA
GÄVGAXXS,2012-05-24 10:35,360,86,12,NA,NA,NA,NA,NA,12.5,NA,NA
GÄVGAXXS,2012-05-28 15:28,380,74,10,NA,NA,3,NA,NA,16.6,NA,NA
GÄVGAXXS,2012-05-31 13:30,370,130,17,NA,NA,NA,NA,NA,14,NA,NA
GÄVGAXXS,2012-06-04 14:45,440,130,15,NA,NA,4,NA,NA,13.5,NA,NA
GÄVGAXXS,2012-06-07 11:45,320,120,9,NA,NA,NA,3.8,NA,14,NA,NA
GÄVGAXXS,2012-06-11 13:07,2600,310,33,NA,NA,NA,NA,NA,14.9,NA,NA
